"Modelo","Score_BIC"
"DAG 1 (Socioeconomico)",-9647.92425470889
"DAG 2 (Infraestructura)",-9144.14471208814
"DAG 3 (Riesgo)",-9312.41515058511
"Hill-Climbing",-8669.18241627015
